title,note,url,tags,comment,source_list,status,google_place_id,google_name,google_maps_uri,formatted_address,neighborhood,city,state,country,country_code,postal_code,latitude,longitude,primary_type,google_types,business_status,google_rating,review_count,price_level,match_status
Payna,,https://www.google.com/maps/place/Payna/data=!4m2!3m1!1s0x85d1ff37d04d962d:0x23eacb5b039a2e3f,,,Wanna go,wanna_go,ChIJLZZN0Df_0YURPy6aA1vL6iM,Payna,https://maps.google.com/?cid=2588104527640669759&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Medellín 105, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4166533,-99.1658732,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.9,31.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
Salón Tropical Cartagena,,https://www.google.com/maps/place/Sal%C3%B3n+Tropical+Cartagena/data=!4m2!3m1!1s0x8ef62f480a027d9b:0xdada42e154f9a8ce,,,Wanna go,wanna_go,ChIJm30CCkgv9o4Rzqj5VOFC2to,Salón Tropical Cartagena,https://maps.google.com/?cid=15769990580751935694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Cra 10c, Cl. de la Lomba #28-36, Getsemaní, Cartagena de Indias, Bolívar, Colombia",Getsemaní,Cartagena de Indias,Bolívar,Colombia,CO,130000,10.4200965,-75.5444193,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.8,1410.0,,RESOLVED_FROM_URL
Ro upstairs,,https://www.google.com/maps/place/Ro+upstairs/data=!4m2!3m1!1s0x85d203000a2067b7:0xf0f9961f3624e05f,,,Wanna go,wanna_go,ChIJt2cgCgAD0oURX-AkNh-W-fA,Ro upstairs,https://maps.google.com/?cid=17364074899100196959&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Anatole France 71B, Polanco, Polanco III Secc, Miguel Hidalgo, 11540 Ciudad de México, CDMX, Mexico",Polanco,Ciudad de México,Ciudad de México,Mexico,MX,11540,19.4302971,-99.19767360000002,bar,"bar, point_of_interest, establishment",OPERATIONAL,4.9,133.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
BRNO,,https://www.google.com/maps/place/BRNO/data=!4m2!3m1!1s0x85d1ff00698c6243:0x49a687d9808b5990,,,Wanna go,wanna_go,ChIJQ2KMaQD_0YURkFmLgNmHpkk,BRNO,https://maps.google.com/?cid=5307078579136977296&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Miguel Laurent 509, Col del Valle Centro, Benito Juárez, 03104 Ciudad de México, CDMX, Mexico",Colonia del Valle Centro,Ciudad de México,Ciudad de México,Mexico,MX,03104,19.3753505,-99.1665127,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.1,254.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Votion Roma Norte,,https://www.google.com/maps/place/Votion+Roma+Norte/data=!4m2!3m1!1s0x85d1ff965aeb7375:0xd6792f3559222448,,,Wanna go,wanna_go,ChIJdXPrWpb_0YURSCQiWTUvedY,Votion Roma Norte,https://maps.google.com/?cid=15454435502473749576&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Durango 199, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Roma Norte,Ciudad de México,Ciudad de México,Mexico,MX,06700,19.4200436,-99.1674544,gym,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,4.7,50.0,,RESOLVED_FROM_URL
Boogie's Pizza,Gran spot para comer rapido y echar una chela porque no hay mucho donde sentarte. La pizza de burrata espectacular. Me quedé con antojo de la de ricotta.,https://www.google.com/maps/place/Boogie's+Pizza/data=!4m2!3m1!1s0x85d1ff2f278baafb:0xf7484f59030a5e3b,,,CDMX,visited,ChIJ-6qLJy__0YURO14KA1lPSPc,Boogie's Pizza,https://maps.google.com/?cid=17818579169413062203&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. Nuevo León 125-Loc b, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4097541,-99.1729259,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.4,235.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Lardo,Muy agusto lugar. La hamburguesa buenísima y la lasagna de conejo tambien.,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x85d1ff45bd47fe73:0x4528d0b3c4abd2b8,,,CDMX,visited,ChIJc_5HvUX_0YURuNKrxLPQKEU,Lardo,https://maps.google.com/?cid=4983462458202772152&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Agustín Melgar 6, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06140,19.4179589,-99.17522679999999,mediterranean_restaurant,"mediterranean_restaurant, brunch_restaurant, restaurant, point_of_interest, food, establishment",OPERATIONAL,4.4,7775.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Félix Parque,,https://www.google.com/maps/place/F%C3%A9lix+Parque/data=!4m2!3m1!1s0x85d1ff0016f49711:0x7694266ba31b39e1,,,CDMX,visited,ChIJEZf0FgD_0YUR4Tkbo2smlHY,Félix Parque,https://maps.google.com/?cid=8544496636768500193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av México 99, Colonia Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4102843,-99.1708008,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,1965.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
GIA,,https://www.google.com/maps/place/GIA/data=!4m2!3m1!1s0x85d1ff6a02f13025:0x8efd2b9f750d53a3,,,CDMX,visited,ChIJJTDxAmr_0YURo1MNdZ8r_Y4,GIA,https://maps.google.com/?cid=10303439486357164963&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Aguascalientes 237, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4072531,-99.1731775,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.1,314.0,PRICE_LEVEL_EXPENSIVE,RESOLVED_FROM_URL
Tetetlán,,https://www.google.com/maps/place/Tetetl%C3%A1n/data=!4m2!3m1!1s0x85cdfff13e2a69a7:0x2c5bca334690c7cd,,,CDMX,visited,ChIJp2kqPvH_zYURzceQRjPKWyw,Tetetlán,https://maps.google.com/?cid=3196370682125535181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. de Las Fuentes 180 - B, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, Mexico",Jardines del Pedregal,Ciudad de México,Ciudad de México,Mexico,MX,01900,19.3286011,-99.20479639999999,restaurant,"restaurant, point_of_interest, food, establishment",OPERATIONAL,4.5,3955.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Museo de Arte Moderno,,https://www.google.com/maps/place/Museo+de+Arte+Moderno/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x75a3b54be4cda224,,,CDMX,visited,ChIJTQGqdSv50YURJKLN5Eu1o3U,Museo de Arte Moderno,https://maps.google.com/?cid=8476818261207261732&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. P.º de la Reforma s/n, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, Mexico",Bosque de Chapultepec I Sección,Ciudad de México,Ciudad de México,Mexico,MX,11580,19.423004199999998,-99.179689,art_museum,"tourist_attraction, art_museum, museum, point_of_interest, establishment",OPERATIONAL,4.7,17501.0,,RESOLVED_FROM_URL
Museo Tamayo Arte Contemporáneo,,https://www.google.com/maps/place/Museo+Tamayo+Arte+Contempor%C3%A1neo/data=!4m2!3m1!1s0x85d1ff53d2614b4b:0x2cd41906d3e91652,,,CDMX,visited,ChIJS0th0lP_0YURUhbp0wYZ1Cw,Museo Tamayo Arte Contemporáneo,https://maps.google.com/?cid=3230234349847254610&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Av. P.º de la Reforma 51, Polanco, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, Mexico",Polanco,Ciudad de México,Ciudad de México,Mexico,MX,11580,19.42572,-99.181716,art_museum,"art_museum, tourist_attraction, museum, point_of_interest, establishment",OPERATIONAL,4.5,11062.0,,RESOLVED_FROM_URL
Chalino Chino,De sonora mezcla con chino! Buenisismo como de mariscos y asi tipo el fishers,https://www.google.com/maps/place/Chalino+Chino/data=!4m2!3m1!1s0x85d1ff46959eee01:0xf512e3d48eb15566,,,CDMX,visited,ChIJAe6elUb_0YURZlWxjtTjEvU,Chalino Chino (SM Chapultepec),https://maps.google.com/?cid=17659427590939694438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Juan de la Barrera 143, San Miguel Chapultepec I Sección, Miguel Hidalgo, 11850 Ciudad de México, CDMX, Mexico",San Miguel Chapultepec I Sección,Ciudad de México,Ciudad de México,Mexico,MX,11850,19.4187256,-99.1793398,restaurant,"restaurant, food, point_of_interest, establishment",OPERATIONAL,4.5,313.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Pisca,,https://www.google.com/maps/place/Pisca/data=!4m2!3m1!1s0x85d1ffc6c0614d69:0xf4037d9a57662c8f,,,CDMX,visited,ChIJaU1hwMb_0YURjyxmV5p9A_Q,Pisca,https://maps.google.com/?cid=17583035472029297807&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Fernando Montes de Oca 47, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06140,19.4131599,-99.1747434,coffee_shop,"coffee_shop, breakfast_restaurant, cafe, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.6,322.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Mendl Delicatessen,,https://www.google.com/maps/place/Mendl+Delicatessen/data=!4m2!3m1!1s0x85d1fff467584079:0x5f5782a1e1db88a1,,,CDMX,visited,ChIJeUBYZ_T_0YURoYjb4aGCV18,Mendl Delicatessen,https://maps.google.com/?cid=6870103388367587489&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Citlaltépetl 9, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4101464,-99.17131470000001,brunch_restaurant,"brunch_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.2,1793.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
MARU CAFÉ ( 마루 ),,https://www.google.com/maps/place/MARU+CAF%C3%89+(+%EB%A7%88%EB%A3%A8+)/data=!4m2!3m1!1s0x85d1ffb9fb008987:0x6eb46cb01f10a621,,,CDMX,visited,ChIJh4kA-7n_0YURIaYQH7BstG4,MARU CAFÉ ( 마루 ),https://maps.google.com/?cid=7977120343671219745&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Alfonso Reyes 81-Local 7, Colonia Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06170,19.4095917,-99.1791028,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.8,386.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Saint,,https://www.google.com/maps/place/Saint/data=!4m2!3m1!1s0x85d1ffcd3784285d:0xe7ab200d54e4fe35,,,CDMX,visited,ChIJXSiEN83_0YURNf7kVA0gq-c,Saint,https://maps.google.com/?cid=16693471685409832501&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Gral. Benjamín Hill 146-1, Hipódromo, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06170,19.4077573,-99.1771326,bakery,"bakery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.3,1290.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Helados Meñique,,https://www.google.com/maps/place/Helados+Me%C3%B1ique/data=!4m2!3m1!1s0x85d1ff403c9b6687:0x1dad179c083f56a5,,,CDMX,visited,ChIJh2abPED_0YURpVY_CJwXrR0,Helados Meñique,https://maps.google.com/?cid=2138391356991559333&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"C. Gobernador Ignacio Esteva 25D, San Miguel Chapultepec I Sección, Miguel Hidalgo, 11850 Ciudad de México, CDMX, Mexico",San Miguel Chapultepec I Sección,Ciudad de México,Ciudad de México,Mexico,MX,11850,19.4112011,-99.18852779999999,ice_cream_shop,"ice_cream_shop, dessert_shop, confectionery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.6,106.0,,RESOLVED_FROM_URL
El Minutito,,https://www.google.com/maps/place/El+Minutito/data=!4m2!3m1!1s0x85d1ff0043621877:0x8f6a5afdf1420789,,,CDMX,visited,ChIJdxhiQwD_0YURiQdC8f1aao8,El Minutito,https://maps.google.com/?cid=10334172341675886473&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Londres 28, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",Juárez,Ciudad de México,Ciudad de México,Mexico,MX,06600,19.427982699999998,-99.1584912,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.3,745.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Lagerbar Hércules,Pub mexicano,https://www.google.com/maps/place/Lagerbar+H%C3%A9rcules/data=!4m2!3m1!1s0x85d1ff2aaf89182d:0x14240ca0eb2203a1,,,CDMX,visited,ChIJLRiJryr_0YURoQMi66AMJBQ,Lagerbar Hércules,https://maps.google.com/?cid=1451298865199317921&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Campeche 322, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.408565900000003,-99.1727529,restaurant,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,4.5,915.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Nils ı Café de especialidad y Gente Increíble,Buen lugar para cafe y compu,https://www.google.com/maps/place/Nils+%C4%B1+Caf%C3%A9+de+especialidad+y+Gente+Incre%C3%ADble/data=!4m2!3m1!1s0x85d1ff3097bcdd63:0x9fe15247da2899b3,,,CDMX,visited,ChIJY928lzD_0YURs5ko2kdS4Z8,Nils ı Café de especialidad y Gente Increíble,https://maps.google.com/?cid=11520579790346688947&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Campeche 429, Hipódromo Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",Hipódromo Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06170,19.4110391,-99.1768493,coffee_shop,"coffee_shop, dog_cafe, cafe, bakery, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.9,523.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
ANOTHeR,,https://www.google.com/maps/place/ANOTHeR/data=!4m2!3m1!1s0x85d1ff0010a095fb:0x874144f1becf6e9c,,,CDMX,visited,ChIJ-5WgEAD_0YURnG7PvvFEQYc,ANOTHeR,https://maps.google.com/?cid=9746146873685536412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Alfonso Reyes 193, Hipódromo, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06140,19.407447899999998,-99.1746433,restaurant,"restaurant, wine_bar, coffee_shop, coffee_roastery, cafe, bar, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.5,1040.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Cucurucho Condesa,,https://www.google.com/maps/place/Cucurucho+Condesa/data=!4m2!3m1!1s0x85d1ff1678d3b9a5:0x2a2c396d71052da1,,,CDMX,visited,ChIJpbnTeBb_0YURoS0FcW05LCo,Cucurucho Condesa,https://maps.google.com/?cid=3038866990778625441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"C. de Pachuca 87, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico",Colonia Condesa,Ciudad de México,Ciudad de México,Mexico,MX,06140,19.4155919,-99.17764079999999,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.2,525.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Shoma Hand Roll Bar,,https://www.google.com/maps/place/Shoma+Hand+Roll+Bar/data=!4m2!3m1!1s0x85d1ffcffac7bf81:0xd94aa7771b68c1db,,,CDMX,visited,ChIJgb_H-s__0YUR28FoG3enStk,Shoma Hand Roll Bar,https://maps.google.com/?cid=15657511184509747675&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Pl. Popocatépetl 35, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.415089599999998,-99.1676912,japanese_restaurant,"japanese_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,4.3,289.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
Qūentin Café,,https://www.google.com/maps/place/Q%C5%ABentin+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff881f301079:0xa29b2ea96d56a4f7,,,CDMX,visited,ChIJeRAwH4j_0YUR96RWbakum6I,Qūentin Café,https://maps.google.com/?cid=11717010160753222903&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Ámsterdam 67a, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",Hipódromo,Ciudad de México,Ciudad de México,Mexico,MX,06100,19.4146968,-99.16999919999999,coffee_shop,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",OPERATIONAL,4.2,1219.0,PRICE_LEVEL_MODERATE,RESOLVED_FROM_URL
